seq_id,raw_uri,teams_uri,raw_prob,teams_prob,delta_teams_minus_raw
5402,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000675_seq5402.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000675_seq5402.png,0.8874689936637878,0.8721017241477966,-0.015367269515991211
5438,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000679_seq5438.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000679_seq5438.png,0.859279453754425,0.8335995078086853,-0.025679945945739746
5440,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000677_seq5440.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000677_seq5440.png,0.7678568363189697,0.8762754201889038,0.10841858386993408
5475,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000683_seq5475.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000683_seq5475.png,0.8851718306541443,0.8552732467651367,-0.02989858388900757
5477,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000681_seq5477.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000681_seq5477.png,0.8672499060630798,0.8387480974197388,-0.028501808643341064
5506,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000687_seq5506.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000687_seq5506.png,0.15186713635921478,0.6563345789909363,0.5044674426317215
5509,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000685_seq5509.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000685_seq5509.png,0.1994340419769287,0.6317912936210632,0.4323572516441345
5541,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000691_seq5541.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000691_seq5541.png,0.09177550673484802,0.35332560539245605,0.26155009865760803
5543,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000689_seq5543.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000689_seq5543.png,0.11247313022613525,0.5593466758728027,0.4468735456466675
5576,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_raw__frame_000695_seq5576.png,gs://teams-faces-data-test-2914-fake-4420-real-feb-28/fake/visomaster_enhanced_teams__frame_000695_seq5576.png,0.09204071760177612,0.1356184482574463,0.043577730655670166
