method,frame_uri,lap_var
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0000.jpg,226.684629
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0002.jpg,247.050627
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0004.jpg,250.823075
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0006.jpg,248.081405
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0008.jpg,205.311728
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0010.jpg,224.069479
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0012.jpg,249.098308
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0014.jpg,240.771775
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0000.jpg,85.993580
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0002.jpg,94.972082
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0004.jpg,124.820066
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0006.jpg,93.675632
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0008.jpg,89.938120
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0010.jpg,97.604358
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0012.jpg,93.527746
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0014.jpg,95.567187
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0000.jpg,89.188653
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0002.jpg,155.939773
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0004.jpg,166.707325
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0006.jpg,102.121401
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0008.jpg,84.720622
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0010.jpg,149.444234
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0012.jpg,157.911816
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0014.jpg,62.720856
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0005/frames/real/frame_0000.jpg,286.450188
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0005/frames/real/frame_0006.jpg,259.018132
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0005/frames/real/frame_0008.jpg,275.278788
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0005/frames/real/frame_0010.jpg,251.306151
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0005/frames/real/frame_0012.jpg,259.046064
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0005/frames/real/frame_0014.jpg,279.951965
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0000.jpg,54.206458
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0002.jpg,67.638355
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0004.jpg,50.302912
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0006.jpg,53.433619
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0008.jpg,49.768019
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0010.jpg,56.273957
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0012.jpg,56.851493
deeplive_teams_edge_cases,gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0014.jpg,49.305206
