frame_uri,lap_var
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0000.jpg,226.684629
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0002.jpg,247.050627
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0004.jpg,250.823075
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0006.jpg,248.081405
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0008.jpg,205.311728
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0010.jpg,224.069479
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0012.jpg,249.098308
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0000/frames/real/frame_0014.jpg,240.771775
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0000.jpg,85.993580
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0002.jpg,94.972082
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0004.jpg,124.820066
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0006.jpg,93.675632
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0008.jpg,89.938120
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0010.jpg,97.604358
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0012.jpg,93.527746
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0001/frames/real/frame_0014.jpg,95.567187
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0000.jpg,89.188653
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0002.jpg,155.939773
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0004.jpg,166.707325
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0006.jpg,102.121401
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0008.jpg,84.720622
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0010.jpg,149.444234
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0012.jpg,157.911816
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0004/frames/real/frame_0014.jpg,62.720856
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0005/frames/real/frame_0010.jpg,251.306151
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0000.jpg,54.206458
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0002.jpg,67.638355
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0004.jpg,50.302912
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0006.jpg,53.433619
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0008.jpg,49.768019
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0010.jpg,56.273957
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0012.jpg,56.851493
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0007/frames/real/frame_0014.jpg,49.305206
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0012/frames/real/frame_0000.jpg,194.979952
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0012/frames/real/frame_0002.jpg,195.036059
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0012/frames/real/frame_0006.jpg,142.362045
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0012/frames/real/frame_0008.jpg,188.763709
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0012/frames/real/frame_0010.jpg,187.257160
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0012/frames/real/frame_0014.jpg,154.319041
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0000.jpg,41.945332
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0002.jpg,109.104034
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0004.jpg,176.972983
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0006.jpg,74.645488
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0008.jpg,50.574662
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0010.jpg,109.134612
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0012.jpg,104.687574
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0031/frames/real/frame_0014.jpg,128.541918
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0034/frames/real/frame_0000.jpg,76.230728
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0034/frames/real/frame_0002.jpg,73.345096
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0034/frames/real/frame_0004.jpg,75.667774
gs://live-deepfake-methods-real-and-fake-frames-cropped-teams/samples/edge_cases_0034/frames/real/frame_0006.jpg,84.218275
