pool,axis,n,p10,p50,p90,mean,std
train_df40_blendface,lap_var,500,19.191872787475585,41.57938766479492,91.09550628662112,49.80318406867981,28.167894926714542
train_df40_blendface,min_dim,500,224.0,224.0,224.0,224.0,0.0
train_df40_blendface,luma_mean,500,109.41833038330078,157.52894592285156,200.17765197753906,156.41474362945556,31.4023358338102
train_df40_blendface,color_b_dev,500,9.492597961425782,15.952467441558838,26.189719963073742,16.989699334144593,7.070070801089046
train_df40_blendface,edge_mag,500,30.42516212463379,39.289485931396484,50.58365058898926,40.20412540054321,7.537981288653931
train_df40_blendface,skin_frac,500,0.4382314253826531,0.6333207110969388,0.9138173628826531,0.6518924186862246,0.1952687681705122
train_df40_e4s,lap_var,500,40.490010833740236,71.63043594360352,138.69223175048833,86.73748679351807,64.69175242262956
train_df40_e4s,min_dim,500,224.0,224.0,224.0,224.0,0.0
train_df40_e4s,luma_mean,500,107.89962005615234,141.57186126708984,177.83755798339845,140.4125919494629,28.90104535781215
train_df40_e4s,color_b_dev,500,9.313003826141358,16.027642250061035,31.23009948730469,18.050594655036925,7.9611275645893125
train_df40_e4s,edge_mag,500,30.929358100891115,42.51782989501953,49.12347145080567,41.04685298919678,6.923233368813853
train_df40_e4s,skin_frac,500,0.4872309470663265,0.6836336096938775,0.9564034598214286,0.6981025988520407,0.18147722855057105
train_df40_facedancer,lap_var,500,21.939197158813478,46.310733795166016,123.76319808959961,67.01148375892639,62.47824215707419
train_df40_facedancer,min_dim,500,224.0,224.0,224.0,224.0,0.0
train_df40_facedancer,luma_mean,500,108.0953369140625,140.5678939819336,190.4051986694336,143.5845506134033,30.117422276190577
train_df40_facedancer,color_b_dev,500,8.960046958923341,14.48949670791626,21.198889923095706,14.690774480819702,4.612579173979305
train_df40_facedancer,edge_mag,500,29.726215171813966,38.687612533569336,51.916624069213874,39.59756646347046,9.02780177028597
train_df40_facedancer,skin_frac,500,0.512840800382653,0.6208047672193877,0.9326191804846938,0.6704620535714285,0.14865319334786395
train_df40_inswap,lap_var,500,12.45228328704834,31.839762687683105,96.60254821777346,50.84367435455322,63.99174077429309
train_df40_inswap,min_dim,500,224.0,224.0,224.0,224.0,0.0
train_df40_inswap,luma_mean,500,105.48906936645508,137.89257049560547,173.2927490234375,139.7853678970337,26.192825364971004
train_df40_inswap,color_b_dev,500,5.44907512664795,13.292041778564453,22.200516319274904,14.340858241081238,7.366548729132043
train_df40_inswap,edge_mag,500,26.57571201324463,35.11679267883301,53.76151847839357,37.97823359680176,10.771457997709543
train_df40_inswap,skin_frac,500,0.45173190369897964,0.6569076849489797,0.9304468271683674,0.6576547751913265,0.19171495047313458
