method,label,video_id,avg_video_prob,prediction,is_correct,group_key,family_key
teams_real,0,Chikara_Takahashi__s22__seg_10.0__real,0.61418048,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_11.0__real,0.57563356,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_12.0__real,0.64444727,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_13.0__real,0.58193260,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_14.0__real,0.54651245,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_15.0__real,0.54716271,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_16.0__real,0.58594516,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_17.0__real,0.48912671,0,1,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_18.0__real,0.52975737,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_19.0__real,0.54828981,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_2.0__real,0.58243406,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_20.0__real,0.46675789,0,1,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_21.0__real,0.51106668,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_22.0__real,0.46503606,0,1,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_23.0__real,0.57859063,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_26.0__real,0.41234785,0,1,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_27.0__real,0.42574948,0,1,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_28.0__real,0.37246338,0,1,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_3.0__real,0.51707201,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_4.0__real,0.48377571,0,1,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_5.0__real,0.51200095,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_6.0__real,0.54745644,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_7.0__real,0.64568192,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_8.0__real,0.51999056,1,0,unknown_real,realpool_real
teams_real,0,Chikara_Takahashi__s22__seg_9.0__real,0.49207173,0,1,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1754.4__real,0.52964962,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1755.4__real,0.58686978,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1757.4__real,0.67138046,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1759.4__real,0.65849537,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1760.4__real,0.66427988,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1761.4__real,0.45128086,0,1,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1763.4__real,0.72705764,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1766.4__real,0.81032097,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1768.4__real,0.68674117,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1770.4__real,0.63131279,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1773.4__real,0.68827510,1,0,unknown_real,realpool_real
teams_real,0,PC_Generator__s15__seg_1775.4__real,0.68963164,1,0,unknown_real,realpool_real
